second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
101,22.824,0.438024,23.262024,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
102,23.656152,0.437408,24.09356,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
103,23.373408,0.436824,23.810232000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
104,22.857728,0.436792,23.294520000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
105,23.793776,0.434328,24.228104000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
106,23.737512,0.438024,24.175535999999997,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
107,23.4712,0.437408,23.908608,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
108,23.059344,0.434944,23.494288,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
109,23.808816,0.436176,24.244992,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
110,23.553792,0.43492,23.988712,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
111,23.057568,0.436176,23.493744,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
112,23.938184,0.433712,24.371896,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
113,23.834672,0.434944,24.269616000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
114,23.426416,0.434328,23.860744,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
115,23.444624,0.436168,23.880792,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
116,24.018672,0.433712,24.452384,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
117,23.688648,0.434328,24.122976,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
