method,time_s,total_mbps,pathA_mbps,pathB_mbps,path_b_share_pct
qaccess_t,86.0,24.931127999999998,22.435912,2.495216,10.008436040278644
qaccess_t,87.0,25.161808,22.498008,2.6638,10.586679621750552
qaccess_t,88.0,24.82416,22.397576,2.426584,9.77509007354126
qaccess_t,89.0,25.220376,22.434048,2.786328,11.047924107079133
qaccess_t,90.0,24.881512,22.419624,2.461888,9.894446929109453
qaccess_t,91.0,25.125752000000002,22.469048,2.656704,10.573629796234556
qaccess_t,92.0,25.185144,22.39804,2.787104,11.066460449858852
qaccess_t,93.0,24.958608,22.424624,2.533984,10.15274569799726
qaccess_t,94.0,25.20244,22.47176,2.73068,10.834982644537593
qaccess_t,95.0,25.586792,22.623168,2.963624,11.58263216428226
qaccess_t,96.0,25.093304,22.505688,2.587616,10.311978048008346
qaccess_t,97.0,25.399912,22.553168,2.846744,11.207692373107434
qaccess_t,98.0,25.531064,22.473128,3.057936,11.977315163990031
qaccess_t,99.0,25.185423999999998,22.461176,2.724248,10.81676449044495
qaccess_t,100.0,25.320048,22.437896,2.882152,11.382885214119657
qaccess_t,101.0,25.60304,22.420512,3.182528,12.430273904973784
qaccess_t,102.0,25.227144,22.412264,2.81488,11.158139819553098
qaccess_t,103.0,25.594056,22.566608,3.027448,11.828715229817425
qaccess_t,104.0,25.523456,22.429264,3.094192,12.122935075876873
qaccess_t,105.0,25.259887999999997,22.358976,2.900912,11.484263113122276
qaccess_t,106.0,25.418328,22.435512,2.982816,11.734902468801254
qaccess_t,107.0,25.70472,22.489016,3.215704,12.510169338549499
qaccess_t,108.0,25.465624,22.48348,2.982144,11.710468983599224
qaccess_t,109.0,25.454944,22.492888,2.962056,11.636466377612145
qaccess_t,110.0,25.74492,22.503408,3.241512,12.590880064882704
qaccess_t,111.0,25.465176,22.50952,2.955656,11.606658442101478
qaccess_t,112.0,25.710056,22.601792,3.108264,12.089681951684586
qaccess_t,113.0,25.816512,22.541232,3.27528,12.68676419184745
qaccess_t,114.0,25.483848000000002,22.557984,2.925864,11.481248828669829
qaccess_t,115.0,25.728344,22.57044,3.157904,12.274027430603383
qaccess_t,116.0,25.6392,22.575664,3.063536,11.9486411432494
qaccess_t,117.0,25.870344,22.589496,3.280848,12.68188780172386
qaccess_t,118.0,25.741344,22.641424,3.09992,12.042572446877676
qaccess_t,119.0,25.730616,22.633672,3.096944,12.036027431290412
qaccess_t,120.0,25.84216,22.506184,3.335976,12.909044754772822
qaccess_t,121.0,25.743624,22.634848,3.108776,12.075906640028615
qaccess_t,122.0,25.874256,22.67544,3.198816,12.362929392056722
qaccess_t,123.0,25.86752,22.613296,3.254224,12.580347864812708
qaccess_t,124.0,25.891840000000002,22.680928,3.210912,12.40125074154637
qaccess_t,125.0,25.943768,22.690112,3.253656,12.541185227990011
qaccess_t,126.0,25.812168,22.684152,3.128016,12.11837765816494
qaccess_t,127.0,24.11652,22.702824,1.413696,5.861940279940887
qaccess_t,128.0,23.211208000000003,22.820568,0.39064,1.6829800499827494
qaccess_t,129.0,23.126856,22.737504,0.389352,1.6835492035752717
qaccess_t,130.0,23.183704,22.804896,0.378808,1.6339408060075302
qaccess_t,131.0,23.154296,22.777872,0.376424,1.6257199096012247
qaccess_t,132.0,23.200944,22.82396,0.376984,1.6248649192894908
qaccess_t,133.0,23.232856,22.855816,0.37704,1.6228740883169934
qaccess_t,134.0,23.246544,22.87012,0.376424,1.61926865343941
qaccess_t,135.0,23.298448,22.922104,0.376344,1.615317895852977
qaccess_t,136.0,23.344216,22.968384,0.375832,1.6099576871632784
qaccess_t,137.0,23.375888,22.999464,0.376424,1.6103088789610902
qaccess_t,138.0,23.408863999999998,23.033056,0.375808,1.6054089596146144
qaccess_t,139.0,23.4486,23.073408,0.375192,1.6000614109157905
qaccess_t,140.0,23.448528,23.073928,0.3746,1.5975416452580733
qaccess_t,141.0,23.450647999999997,23.07792,0.372728,1.589414501467081
qaccess_t,142.0,23.555087999999998,23.178744,0.376344,1.5977185056578862
qaccess_t,143.0,23.57292,23.198936,0.373984,1.586498405797839
qaccess_t,144.0,23.586952,23.213608,0.373344,1.5828412250976727
qaccess_t,145.0,23.629192,23.255232,0.37396,1.5826186523855745
qaccess_t,146.0,23.670312000000003,23.295736,0.374576,1.5824717477319266
qaccess_t,147.0,23.682816,23.311912,0.370904,1.5661313249235227
qaccess_t,148.0,23.737264,23.36392,0.373344,1.5728181647219328
qaccess_t,149.0,23.750040000000002,23.378544,0.371496,1.5641910497834948
qaccess_t,150.0,23.695384,23.323272,0.372112,1.570398690310315
qaccess_t,151.0,23.830552,23.451632,0.37892,1.5900596847274036
qaccess_t,152.0,23.890272,23.501544,0.388728,1.6271392807917802
qaccess_t,153.0,23.894864,23.506728,0.388136,1.6243490651380148
qaccess_t,154.0,23.952879999999997,23.56592,0.38696,1.6155051083627525
qaccess_t,155.0,23.978312000000003,23.591408,0.386904,1.6135581186865862
qaccess_t,156.0,23.975824,23.588304,0.38752,1.6162948143096145
qaccess_t,157.0,24.119024,23.66348,0.455544,1.8887331427673026
qaccess_t,158.0,24.104944,23.639496,0.465448,1.930923382356748
qaccess_t,159.0,24.217848,23.71024,0.507608,2.0960078698982665
qaccess_t,160.0,24.242768,23.742096,0.500672,2.0652427148583032
qaccess_t,161.0,24.249888,23.746584,0.503304,2.0754899981393726
qaccess_t,162.0,24.342472,23.818152,0.52432,2.1539307922383557
qaccess_t,163.0,24.406648,23.864128,0.54252,2.2228369909706567
qaccess_t,164.0,24.424184,23.87264,0.551544,2.258188031993208
qaccess_t,165.0,24.364544,23.818544,0.546,2.2409612919494823
qaccess_t,166.0,24.511176,23.941696,0.56948,2.3233483371014105
qaccess_t,167.0,24.535287999999998,23.946616,0.588672,2.3992871002777716
qaccess_t,168.0,24.580992000000002,23.979952,0.60104,2.4451413514963107
qaccess_t,169.0,24.615336,23.96088,0.654456,2.658732750997183
qaccess_t,170.0,24.608616,23.997648,0.610968,2.482740191484153
qaccess_t,171.0,24.688208,24.032104,0.656104,2.6575602409052936
qaccess_t,172.0,24.700088,24.03408,0.666008,2.696379057434937
qaccess_t,173.0,24.749896,24.05048,0.699416,2.8259351069596415
qaccess_t,174.0,24.714056,23.969456,0.7446,3.0128603738698336
qaccess_t,175.0,24.860168,24.1626,0.697568,2.8059665566218213
qaccess_t,176.0,24.75704,24.01308,0.74396,3.005044221764799
qaccess_t,177.0,24.682008,23.927528,0.75448,3.0568015373789685
qaccess_t,178.0,25.019144,24.233104,0.78604,3.141754170326531
qaccess_t,179.0,25.056784,24.21452,0.842264,3.3614210027911007
qaccess_t,180.0,25.128512,24.335064,0.793448,3.1575606227698643
qaccess_t,181.0,25.064999999999998,24.23876,0.82624,3.2963893875922605
qaccess_t,182.0,25.11452,24.269688,0.844832,3.363918561851869
qaccess_t,183.0,25.132103999999998,24.263088,0.869016,3.4577924713346726
qaccess_t,184.0,25.351024000000002,24.410008,0.941016,3.711944732488912
qaccess_t,185.0,25.07224,24.226288,0.845952,3.3740583210754203
qaccess_t,186.0,25.333112,24.458952,0.87416,3.4506617268340345
